employee_name,user_id,O,C,E,A,N,role,business_unit,functional_unit,department,team,supervisor,total_logons,avg_logon_hour,after_hours_logons,weekend_logons,active_months,after_hours_ratio,weekend_ratio
2788,2769,34,39,38,36,21,16,1,0,21,84,138,343,11.478134110787172,221,0,2,0.6443148688046647,0.0
19,90,36,39,13,19,27,28,1,5,12,49,145,111,11.63063063063063,40,0,2,0.36036036036036034,0.0
2622,2711,27,14,44,22,34,28,1,6,12,20,98,80,12.5,0,0,2,0.0,0.0
2627,2613,35,49,22,45,28,28,1,6,12,81,60,111,12.054054054054054,17,0,2,0.15315315315315314,0.0
394,560,15,15,41,39,27,23,1,3,18,23,72,80,12.0,40,0,2,0.5,0.0
3980,3962,35,39,32,14,31,20,1,4,16,58,2,80,12.5625,39,0,2,0.4875,0.0
3400,3344,42,19,23,31,22,21,1,3,18,21,233,108,13.222222222222221,0,0,2,0.0,0.0
399,413,14,15,21,23,28,6,1,4,18,10,243,80,13.05,0,0,2,0.0,0.0
1346,1269,40,50,43,18,28,40,1,2,18,39,99,112,11.660714285714286,40,0,2,0.35714285714285715,0.0
668,797,46,44,38,44,23,13,1,3,16,67,196,96,12.520833333333334,13,0,2,0.13541666666666666,0.0
2438,2411,20,23,38,42,33,20,1,2,16,82,183,80,11.0,40,0,2,0.5,0.0
1392,1434,42,39,47,10,37,33,1,0,21,73,13,113,11.309734513274336,40,0,2,0.35398230088495575,0.0
2668,2719,21,36,40,40,26,42,1,9,14,70,218,114,12.868421052631579,0,0,2,0.0,0.0
1819,1809,40,47,21,19,28,38,1,6,12,79,31,80,11.5875,40,0,2,0.5,0.0
1882,2022,42,26,41,45,26,42,1,8,14,4,114,80,11.5,40,0,2,0.5,0.0
1732,1717,49,15,16,16,34,42,1,8,14,54,161,104,12.067307692307692,19,0,2,0.18269230769230768,0.0
2024,2017,38,37,21,36,25,32,1,3,10,44,176,80,13.5,0,0,2,0.0,0.0
1879,1992,33,22,23,24,38,42,1,9,14,46,185,80,13.0,0,0,2,0.0,0.0
1479,1414,37,42,38,43,32,38,1,5,12,7,92,80,14.175,40,0,2,0.5,0.0
2301,2387,17,42,34,42,35,28,1,5,12,81,127,80,12.0,40,0,2,0.5,0.0
2060,2193,39,43,14,38,32,4,1,3,18,38,237,80,12.0625,19,0,2,0.2375,0.0
2350,2456,47,40,34,37,21,28,1,5,12,49,145,134,11.708955223880597,40,0,2,0.29850746268656714,0.0
3123,3083,17,28,19,50,25,22,1,2,10,74,238,80,10.5125,40,0,2,0.5,0.0
66,269,48,13,43,20,30,13,1,2,18,64,67,80,13.1375,41,0,2,0.5125,0.0
3869,3852,47,24,17,23,26,42,1,9,14,54,194,80,12.0,0,0,2,0.0,0.0
1615,1597,10,35,25,45,24,32,1,2,10,44,0,111,12.297297297297296,43,0,2,0.38738738738738737,0.0
2651,2480,39,14,37,44,23,9,1,4,18,38,70,124,11.67741935483871,54,3,2,0.43548387096774194,0.024193548387096774
2547,2583,46,39,20,31,31,42,1,8,14,46,73,135,11.25925925925926,15,0,2,0.1111111111111111,0.0
758,657,25,30,45,34,31,28,1,5,12,49,145,80,11.5,40,0,2,0.5,0.0
1589,1553,37,30,19,43,31,9,1,3,18,25,141,127,12.551181102362206,13,0,2,0.10236220472440945,0.0
1278,1284,16,27,43,26,31,38,1,5,12,19,227,80,11.5,40,0,2,0.5,0.0
1027,1073,19,25,45,32,28,38,1,6,12,7,23,80,12.5,0,0,2,0.0,0.0
3903,3872,42,22,21,21,32,42,1,8,14,4,114,123,11.447154471544716,42,0,2,0.34146341463414637,0.0
2435,2308,37,41,42,20,30,26,1,4,10,44,128,80,11.5,0,0,2,0.0,0.0
3953,3975,41,24,43,14,31,9,1,2,18,42,76,80,13.5,40,0,2,0.5,0.0
98,194,10,28,44,38,30,9,1,3,18,40,78,80,11.5,40,0,2,0.5,0.0
1801,1985,10,20,24,13,29,41,1,2,18,3,201,80,12.0,0,0,2,0.0,0.0
3148,3193,21,15,37,19,28,11,1,9,14,46,61,100,13.02,0,0,2,0.0,0.0
924,920,39,41,20,15,31,28,1,6,12,81,60,121,12.132231404958677,17,0,2,0.14049586776859505,0.0
573,542,19,26,18,22,33,9,1,2,16,67,38,80,11.5,40,0,2,0.5,0.0
3611,3567,39,48,39,33,28,22,1,3,10,68,56,80,12.5,0,0,2,0.0,0.0
1442,1393,47,37,12,44,32,42,1,9,14,4,205,80,11.5125,40,0,2,0.5,0.0
3753,3711,40,10,44,40,30,6,1,2,18,35,42,140,11.607142857142858,16,0,2,0.11428571428571428,0.0
2413,2367,44,18,41,41,27,41,1,4,18,3,77,80,11.525,15,0,2,0.1875,0.0
3209,3223,48,42,13,14,33,31,1,9,11,47,1,88,11.886363636363637,44,0,2,0.5,0.0
1304,1311,38,31,16,22,24,23,1,2,18,17,15,136,11.389705882352942,37,0,2,0.27205882352941174,0.0
1849,1898,27,22,26,25,30,45,1,3,16,88,171,80,11.0,40,0,2,0.5,0.0
2892,2882,39,21,14,19,30,20,1,2,16,58,183,111,12.621621621621621,0,0,2,0.0,0.0
620,862,34,38,45,18,35,31,1,8,11,47,83,80,12.0,40,0,2,0.5,0.0
2086,2150,21,10,44,42,37,28,1,5,12,81,127,80,12.0375,38,0,2,0.475,0.0
319,59,15,13,18,21,27,22,1,3,10,44,176,164,13.140243902439025,10,35,2,0.06097560975609756,0.21341463414634146
3809,3796,41,23,15,42,34,28,1,5,12,65,239,132,11.295454545454545,40,0,2,0.30303030303030304,0.0
3639,3595,31,38,44,17,35,23,1,6,7,3,108,80,12.5,0,0,2,0.0,0.0
1924,1922,17,21,21,40,35,42,1,9,14,54,194,102,12.0,0,22,2,0.0,0.21568627450980393
3664,3672,27,24,18,16,26,36,1,2,16,6,224,80,11.0125,40,0,2,0.5,0.0
3501,3367,44,16,38,25,27,21,1,4,18,21,153,80,14.0,40,0,2,0.5,0.0
2999,2953,46,32,34,22,24,9,1,3,16,67,196,111,12.342342342342342,18,0,2,0.16216216216216217,0.0
2233,2068,34,24,28,36,35,42,1,8,14,54,161,82,12.036585365853659,19,0,2,0.23170731707317074,0.0
126,91,26,18,22,38,35,45,1,4,16,56,109,80,12.9875,0,0,2,0.0,0.0
3277,3410,26,19,43,18,23,39,1,5,12,63,148,80,11.525,17,0,2,0.2125,0.0
1703,1768,39,44,12,39,27,42,1,4,18,14,155,161,11.652173913043478,50,29,2,0.3105590062111801,0.18012422360248448
756,600,18,27,44,37,35,28,1,6,12,65,69,114,11.74561403508772,15,0,2,0.13157894736842105,0.0
3946,3933,33,27,45,41,28,20,1,0,21,16,173,144,11.756944444444445,50,39,2,0.3472222222222222,0.2708333333333333
282,322,32,38,38,24,27,31,1,9,11,47,1,80,12.0,40,0,2,0.5,0.0
777,880,36,32,21,40,22,28,1,5,12,65,239,118,11.0,40,0,2,0.3389830508474576,0.0
1100,961,48,41,50,18,36,26,1,2,10,1,19,117,13.495726495726496,3,0,2,0.02564102564102564,0.0
1562,1631,38,42,50,34,37,43,1,3,18,23,72,80,12.0,40,0,2,0.5,0.0
1616,1521,43,34,39,39,31,6,1,3,18,40,78,116,11.508620689655173,40,0,2,0.3448275862068966,0.0
2865,2807,43,20,43,20,32,30,1,1,9,3,89,141,11.836879432624114,40,0,2,0.28368794326241137,0.0
1771,1678,42,50,18,43,29,22,1,2,10,44,0,82,12.25609756097561,42,0,2,0.5121951219512195,0.0
