O,C,E,A,N,role,business_unit,functional_unit,department,team,supervisor,total_logons,avg_logon_hour,after_hours_logons,weekend_logons,active_months,after_hours_ratio,weekend_ratio
34,39,38,36,21,16,1,0,21,84,138,343,11.478134110787172,221,0,2,0.6443148688046647,0.0
36,39,13,19,27,28,1,5,12,49,145,111,11.63063063063063,40,0,2,0.36036036036036034,0.0
27,14,44,22,34,28,1,6,12,20,98,80,12.5,0,0,2,0.0,0.0
35,49,22,45,28,28,1,6,12,81,60,111,12.054054054054054,17,0,2,0.15315315315315314,0.0
15,15,41,39,27,23,1,3,18,23,72,80,12.0,40,0,2,0.5,0.0
35,39,32,14,31,20,1,4,16,58,2,80,12.5625,39,0,2,0.4875,0.0
42,19,23,31,22,21,1,3,18,21,233,108,13.222222222222221,0,0,2,0.0,0.0
14,15,21,23,28,6,1,4,18,10,243,80,13.05,0,0,2,0.0,0.0
40,50,43,18,28,40,1,2,18,39,99,112,11.660714285714286,40,0,2,0.35714285714285715,0.0
46,44,38,44,23,13,1,3,16,67,196,96,12.520833333333334,13,0,2,0.13541666666666666,0.0
20,23,38,42,33,20,1,2,16,82,183,80,11.0,40,0,2,0.5,0.0
42,39,47,10,37,33,1,0,21,73,13,113,11.309734513274336,40,0,2,0.35398230088495575,0.0
21,36,40,40,26,42,1,9,14,70,218,114,12.868421052631579,0,0,2,0.0,0.0
40,47,21,19,28,38,1,6,12,79,31,80,11.5875,40,0,2,0.5,0.0
42,26,41,45,26,42,1,8,14,4,114,80,11.5,40,0,2,0.5,0.0
49,15,16,16,34,42,1,8,14,54,161,104,12.067307692307692,19,0,2,0.18269230769230768,0.0
38,37,21,36,25,32,1,3,10,44,176,80,13.5,0,0,2,0.0,0.0
33,22,23,24,38,42,1,9,14,46,185,80,13.0,0,0,2,0.0,0.0
37,42,38,43,32,38,1,5,12,7,92,80,14.175,40,0,2,0.5,0.0
17,42,34,42,35,28,1,5,12,81,127,80,12.0,40,0,2,0.5,0.0
39,43,14,38,32,4,1,3,18,38,237,80,12.0625,19,0,2,0.2375,0.0
47,40,34,37,21,28,1,5,12,49,145,134,11.708955223880597,40,0,2,0.29850746268656714,0.0
17,28,19,50,25,22,1,2,10,74,238,80,10.5125,40,0,2,0.5,0.0
48,13,43,20,30,13,1,2,18,64,67,80,13.1375,41,0,2,0.5125,0.0
47,24,17,23,26,42,1,9,14,54,194,80,12.0,0,0,2,0.0,0.0
10,35,25,45,24,32,1,2,10,44,0,111,12.297297297297296,43,0,2,0.38738738738738737,0.0
39,14,37,44,23,9,1,4,18,38,70,124,11.67741935483871,54,3,2,0.43548387096774194,0.024193548387096774
46,39,20,31,31,42,1,8,14,46,73,135,11.25925925925926,15,0,2,0.1111111111111111,0.0
25,30,45,34,31,28,1,5,12,49,145,80,11.5,40,0,2,0.5,0.0
37,30,19,43,31,9,1,3,18,25,141,127,12.551181102362206,13,0,2,0.10236220472440945,0.0
16,27,43,26,31,38,1,5,12,19,227,80,11.5,40,0,2,0.5,0.0
19,25,45,32,28,38,1,6,12,7,23,80,12.5,0,0,2,0.0,0.0
42,22,21,21,32,42,1,8,14,4,114,123,11.447154471544716,42,0,2,0.34146341463414637,0.0
37,41,42,20,30,26,1,4,10,44,128,80,11.5,0,0,2,0.0,0.0
41,24,43,14,31,9,1,2,18,42,76,80,13.5,40,0,2,0.5,0.0
10,28,44,38,30,9,1,3,18,40,78,80,11.5,40,0,2,0.5,0.0
10,20,24,13,29,41,1,2,18,3,201,80,12.0,0,0,2,0.0,0.0
21,15,37,19,28,11,1,9,14,46,61,100,13.02,0,0,2,0.0,0.0
39,41,20,15,31,28,1,6,12,81,60,121,12.132231404958677,17,0,2,0.14049586776859505,0.0
19,26,18,22,33,9,1,2,16,67,38,80,11.5,40,0,2,0.5,0.0
39,48,39,33,28,22,1,3,10,68,56,80,12.5,0,0,2,0.0,0.0
47,37,12,44,32,42,1,9,14,4,205,80,11.5125,40,0,2,0.5,0.0
40,10,44,40,30,6,1,2,18,35,42,140,11.607142857142858,16,0,2,0.11428571428571428,0.0
44,18,41,41,27,41,1,4,18,3,77,80,11.525,15,0,2,0.1875,0.0
48,42,13,14,33,31,1,9,11,47,1,88,11.886363636363637,44,0,2,0.5,0.0
38,31,16,22,24,23,1,2,18,17,15,136,11.389705882352942,37,0,2,0.27205882352941174,0.0
27,22,26,25,30,45,1,3,16,88,171,80,11.0,40,0,2,0.5,0.0
39,21,14,19,30,20,1,2,16,58,183,111,12.621621621621621,0,0,2,0.0,0.0
34,38,45,18,35,31,1,8,11,47,83,80,12.0,40,0,2,0.5,0.0
21,10,44,42,37,28,1,5,12,81,127,80,12.0375,38,0,2,0.475,0.0
15,13,18,21,27,22,1,3,10,44,176,164,13.140243902439025,10,35,2,0.06097560975609756,0.21341463414634146
41,23,15,42,34,28,1,5,12,65,239,132,11.295454545454545,40,0,2,0.30303030303030304,0.0
31,38,44,17,35,23,1,6,7,3,108,80,12.5,0,0,2,0.0,0.0
17,21,21,40,35,42,1,9,14,54,194,102,12.0,0,22,2,0.0,0.21568627450980393
27,24,18,16,26,36,1,2,16,6,224,80,11.0125,40,0,2,0.5,0.0
44,16,38,25,27,21,1,4,18,21,153,80,14.0,40,0,2,0.5,0.0
46,32,34,22,24,9,1,3,16,67,196,111,12.342342342342342,18,0,2,0.16216216216216217,0.0
34,24,28,36,35,42,1,8,14,54,161,82,12.036585365853659,19,0,2,0.23170731707317074,0.0
26,18,22,38,35,45,1,4,16,56,109,80,12.9875,0,0,2,0.0,0.0
26,19,43,18,23,39,1,5,12,63,148,80,11.525,17,0,2,0.2125,0.0
39,44,12,39,27,42,1,4,18,14,155,161,11.652173913043478,50,29,2,0.3105590062111801,0.18012422360248448
18,27,44,37,35,28,1,6,12,65,69,114,11.74561403508772,15,0,2,0.13157894736842105,0.0
33,27,45,41,28,20,1,0,21,16,173,144,11.756944444444445,50,39,2,0.3472222222222222,0.2708333333333333
32,38,38,24,27,31,1,9,11,47,1,80,12.0,40,0,2,0.5,0.0
36,32,21,40,22,28,1,5,12,65,239,118,11.0,40,0,2,0.3389830508474576,0.0
48,41,50,18,36,26,1,2,10,1,19,117,13.495726495726496,3,0,2,0.02564102564102564,0.0
38,42,50,34,37,43,1,3,18,23,72,80,12.0,40,0,2,0.5,0.0
43,34,39,39,31,6,1,3,18,40,78,116,11.508620689655173,40,0,2,0.3448275862068966,0.0
43,20,43,20,32,30,1,1,9,3,89,141,11.836879432624114,40,0,2,0.28368794326241137,0.0
42,50,18,43,29,22,1,2,10,44,0,82,12.25609756097561,42,0,2,0.5121951219512195,0.0
32,39,22,36,39,31,1,9,11,34,49,68,11.308823529411764,33,2,2,0.4852941176470588,0.029411764705882353
34,26,31,30,29,31,1,9,11,55,208,80,13.0,0,0,2,0.0,0.0
25,15,38,42,35,42,1,9,14,70,218,80,13.0,0,0,2,0.0,0.0
42,16,45,11,26,40,1,2,18,22,191,80,11.5,40,0,2,0.5,0.0
12,20,37,15,19,41,1,3,18,3,41,132,12.068181818181818,18,0,2,0.13636363636363635,0.0
41,42,21,29,25,28,1,5,12,49,145,131,11.65648854961832,40,0,2,0.3053435114503817,0.0
39,43,26,21,31,23,1,2,18,37,177,111,12.81981981981982,0,0,2,0.0,0.0
43,40,23,47,28,45,1,2,16,80,6,135,13.392592592592592,56,0,2,0.4148148148148148,0.0
18,40,29,24,27,21,1,4,18,52,122,80,13.5875,21,0,2,0.2625,0.0
37,42,50,37,30,9,1,2,18,83,52,80,11.6375,18,0,2,0.225,0.0
12,34,39,42,30,23,1,4,18,72,166,112,12.410714285714286,15,0,2,0.13392857142857142,0.0
11,31,41,40,24,31,1,9,11,47,1,80,12.0,40,0,2,0.5,0.0
18,27,40,21,27,23,1,4,18,24,215,80,12.0,0,0,2,0.0,0.0
50,25,39,34,38,32,1,4,10,30,126,84,11.571428571428571,18,0,2,0.21428571428571427,0.0
41,16,43,17,29,9,1,4,18,42,103,80,13.0,0,0,2,0.0,0.0
22,44,31,22,24,43,1,4,18,23,102,97,11.45360824742268,49,17,2,0.5051546391752577,0.17525773195876287
49,18,42,40,29,31,1,9,11,62,47,130,11.846153846153847,16,9,2,0.12307692307692308,0.06923076923076923
39,42,34,46,30,42,1,9,14,46,185,120,12.891666666666667,0,0,2,0.0,0.0
46,42,35,41,35,38,1,5,12,7,92,80,14.0875,40,0,2,0.5,0.0
30,37,18,44,27,38,1,5,12,87,175,98,11.214285714285714,17,5,2,0.17346938775510204,0.05102040816326531
42,43,25,19,32,42,1,9,14,4,205,80,11.5375,38,0,2,0.475,0.0
29,17,10,23,25,42,1,8,14,4,114,137,11.489051094890511,40,0,2,0.291970802919708,0.0
33,42,48,17,25,6,1,2,18,35,42,80,11.55,20,0,2,0.25,0.0
36,22,15,38,31,1,1,4,18,3,110,90,11.21111111111111,44,0,2,0.4888888888888889,0.0
